id,title,author,rating,tags,platform
173,帝国的晨辉,硕鼠,3.8,历史、穿越、帝国,番茄小说
174,巫界术士,文抄公,3.4,都市、玄幻、巫术,起点读书
175,孺子帝,冰临神下,3.4,科幻、穿越、宫廷,起点读书
176,寂静杀戮,熊狼狗,3.6,武侠、玄幻、悬疑,微信读书
177,主神调查员,小仲牛,3.0,玄幻、无限流、科幻,微信读书
178,打开你的任务日志,幽夜荆棘,3.5,悬疑、系统、玄幻,起点读书
179,革宋,绯红之月,3.2,都市、穿越、历史,微信读书
180,易鼎,荆柯守,3.7,历史、穿越、玄幻,Kindle 商店
181,万界圆梦师,棉衣卫,3.4,悬疑、穿越、无限流,番茄小说
182,从零开始竞选总统,给您添蘑菇啦,4.2,悬疑、穿越、异国背景,起点读书
183,神墓,辰东,3.6,都市、玄幻、仙侠,微信读书
184,全音阶狂潮,灵宇,2.9,玄幻、音乐、异能,番茄小说
185,重塑千禧年代,渔雪,3.6,悬疑、重生、年代文,Kindle 商店
186,马恩的日常,F君,3.6,武侠、玄幻、日常,QQ 阅读
187,官居一品,三戒大师,3.5,都市、历史、官场,微信读书
188,尘缘,烟雨江南,3.5,科幻、玄幻、仙侠,起点读书
189,风姿物语,罗森,4.0,玄幻、奇幻、后宫,微信读书
190,玄浑道章,误道者,3.2,武侠、玄幻、修仙,起点读书
191,重活了,尝谕,3.8,武侠、重生、都市,番茄小说
192,1852铁血中华,绯红之月,3.5,武侠、穿越、历史,番茄小说
193,魔魂启临,先飞看刀,3.7,科幻、玄幻、冒险,QQ 阅读
194,黎明医生,机器人瓦力,3.2,悬疑、都市、医疗,Kindle 商店
195,我真的长生不老,初恋璀璨如夏花,2.9,科幻、都市、异能,起点读书
196,绝对一番,海底漫步者,3.1,悬疑、重生、娱乐圈,QQ 阅读
197,我师兄实在太稳健了,言归正传,3.0,都市、玄幻、搞笑,Kindle 商店
198,雅骚,贼道三痴,4.0,都市、历史、言情,番茄小说
199,十州风云志,知秋,4.2,玄幻、仙侠、战争,Kindle 商店
200,青叶事务所,库奇奇,3.8,历史、灵异、悬疑,Kindle 商店
201,阳神,梦入神机,3.7,武侠、玄幻、修仙,番茄小说
202,星球博物馆,小雨清晨,2.0,历史、科幻、末日,QQ 阅读
203,美利坚1982,一勺往事,3.6,玄幻、穿越、异国背景,番茄小说
204,邪气凛然,跳舞,4.0,武侠、都市、异能,QQ 阅读
205,深夜书屋,纯洁滴小龙,2.8,历史、灵异、悬疑,番茄小说
206,文学入侵,鹿门客,4.1,科幻、都市、奇幻,起点读书
207,随波逐流之一代军师,随波逐流,4.0,武侠、历史、权谋,起点读书
208,全球进化,咬狗,3.8,都市、科幻、末世,微信读书
209,玩家凶猛,黑灯夏火,3.1,玄幻、无限流、游戏,Kindle 商店
210,最佳导演,机器人瓦力,3.4,玄幻、都市、娱乐,番茄小说
211,寻找走丢的舰娘,海底熔岩,4.0,都市、科幻、舰娘,Kindle 商店
212,重生寡头1991,懵懂的猪,4.0,玄幻、穿越、异国背景,Kindle 商店
213,高手寂寞,兰帝魅晨,3.4,都市、武侠、网游,QQ 阅读
214,汉祚高门,衣冠正伦,2.7,玄幻、历史、权谋,QQ 阅读
215,修真四万年（《星域四万年》）,卧牛真人,3.0,武侠、科幻、修仙,起点读书
216,最后的地球战神,荆柯守,4.0,都市、科幻、战争,QQ 阅读
217,冰之无限,观沧海,3.9,武侠、无限流、玄幻,QQ 阅读
218,官道之色戒,低手寂寞,4.0,武侠、历史、官场,微信读书
219,狼群,刺血,4.5,历史、军事、热血,Kindle 商店
220,从1983开始,睡觉会变白,3.5,都市、重生、年代文,Kindle 商店
221,肆虐韩娱,姬叉,3.8,玄幻、异国背景、娱乐圈,QQ 阅读
222,锦衣夜行,月关,3.5,科幻、历史、穿越,起点读书
223,同时穿越了99个世界,凤嘲凰,3.2,玄幻、穿越、无限流,Kindle 商店
224,逍遥梦路,文抄公,3.0,历史、玄幻、修仙,Kindle 商店
225,重生之贼行天下,发飙的蜗牛,3.9,都市、网游、重生,番茄小说
226,新宋,阿越,3.7,历史、穿越、宋朝,起点读书
227,苟在妖武乱世修仙,文抄公,2.9,玄幻、穿越、乱世,QQ 阅读
228,召唤梦魇,滚开,3.0,武侠、玄幻、暗黑,微信读书
229,鬼吹灯（盗墓者的经历）,本物天下霸唱,4.7,都市、盗墓、悬疑,微信读书
230,超级能源强国,志鸟村,3.8,玄幻、都市、科技,起点读书
231,变成血族是什么体验,神行汉堡,3.3,玄幻、都市、奇幻,Kindle 商店
232,永生,梦入神机,3.1,悬疑、玄幻、修仙,番茄小说
233,太浩,无极书虫,3.5,都市、玄幻、修仙,微信读书
234,搜神记,树下野狐,4.0,科幻、神话、仙侠,微信读书
235,疯巫妖的实验日志,愤怒的松鼠,3.5,武侠、西幻、搞笑,微信读书
236,灵吸怪备忘录·叁,魔力的真髓,4.4,都市、奇幻、备忘录,起点读书
237,剑徒之路,惰堕,2.6,都市、玄幻、升级流,起点读书
238,神游,徐公子胜治,4.0,历史、仙侠、哲学,QQ 阅读
239,重生之钢铁大亨,更俗,3.7,都市、重生、商战,番茄小说
240,农家子的古代科举生活,曲流水,3.9,"都市, 历史、穿越、科举",Kindle 商店
241,斗罗大陆,唐家三少,3.0,科幻、玄幻、异界,微信读书
242,全球高武,老鹰吃小鸡,2.5,都市、玄幻、升级流,起点读书
243,蜀山,流浪的蛤蟆,4.2,玄幻、仙侠、修真,Kindle 商店
244,独游,酒精过敏,4.4,都市、奇幻、孤独,QQ 阅读
245,盘龙,我吃西红柿,3.6,武侠、玄幻、异界,起点读书
246,我才不会被女孩子欺负呢,废铁行者,3.5,历史、都市、校园,番茄小说
247,清客,贼道三痴,4.5,科幻、历史、言情,番茄小说
248,大冒险,楚白,3.8,悬疑、玄幻、冒险,Kindle 商店
249,这个明星来自地球,关乌鸦,2.9,武侠、穿越、娱乐,Kindle 商店
250,盗天仙途,荆柯守,3.0,悬疑、玄幻、修仙,起点读书
251,红楼名侦探,嗷世巅锋,3.4,悬疑、红楼、推理,Kindle 商店
252,武侠时代的皇帝修炼日记,人瘦凋猪颜,3.4,武侠、玄幻、宫廷,QQ 阅读
253,蚁贼,赵子曰,4.0,历史、穿越、战争,Kindle 商店
254,苟在神诡世界,人勿玩人,2.9,科幻、克苏鲁、玄幻,QQ 阅读
255,知北游,洛水,3.8,历史、玄幻、哲学,Kindle 商店
256,诡秘地海,狐尾的笔,3.5,都市、克苏鲁、悬疑,QQ 阅读
257,我真没想重生啊,柳岸花又明,2.7,武侠、重生、都市,微信读书
258,牧神记,宅猪,3.0,历史、玄幻、神话,Kindle 商店
259,美食供应商,会做菜的猫,2.6,玄幻、都市、美食,起点读书
260,道门法则,八宝饭,3.0,武侠、玄幻、道门,番茄小说
261,众星之主,一伤二十八,3.1,科幻、玄幻、星际,Kindle 商店
262,玄鉴仙族,季越人,3.3,悬疑、玄幻、仙侠,Kindle 商店
263,黑山老妖,梦入神机,4.2,玄幻、仙侠、暗黑,Kindle 商店
264,好莱坞之王,威武武威,3.5,历史、异国背景、娱乐圈,微信读书
265,进化的四十六亿重奏,相位行者,3.9,悬疑、科幻、脑洞,起点读书
266,佣兵天下,说不得大师,4.0,武侠、奇幻、战争,QQ 阅读
267,晚唐浮生,孤独麦客,2.8,武侠、历史、穿越,起点读书
268,从神探李元芳开始,兴霸天,3.4,都市、历史、探案,起点读书
269,民国投机者,有时糊涂,2.4,都市、穿越、商战,QQ 阅读
270,[综]这穿越的画风不对啊,愚蠢人类,3.8,玄幻、综漫、穿越,Kindle 商店
271,逃亡犯报告,小雨清晨,3.9,历史、科幻、悬疑,QQ 阅读
272,某霍格沃茨的魔文教授,韩游思,3.6,武侠、奇幻、魔法,Kindle 商店
273,我的老婆是军阀,录事参军,3.0,武侠、穿越、言情,微信读书
274,最长的一梦,小鱼联盟,4.0,玄幻、都市、奇幻,起点读书
275,长生志异,真愚老人,3.0,都市、灵异、仙侠,番茄小说
276,儒道至圣,永恒之火,2.5,历史、玄幻、儒道,番茄小说
277,神国之上,见异思剑,3.3,玄幻、奇幻、神国,Kindle 商店
278,天可汗,西风紧,3.7,科幻、历史、穿越,QQ 阅读
279,黜龙,榴弹怕水,2.8,玄幻、历史、权谋,Kindle 商店
280,道君,跃千愁,1.9,玄幻、仙侠、修真,Kindle 商店
281,窃明,大爆炸,3.6,都市、历史、战争,起点读书
282,大道朝天,猫腻,1.6,玄幻、仙侠、修仙,微信读书
283,诸天尽头,凤嘲凰,3.1,历史、穿越、无限流,微信读书
284,老子是癞蛤蟆,烽火戏诸侯,3.6,科幻、都市、现实,Kindle 商店
285,我的二战不可能这么萌,月面,3.6,悬疑、穿越、二战,QQ 阅读
286,太受欢迎了怎么办,给您添蘑菇啦,3.5,历史、都市、搞笑,起点读书
287,余罪,常书欣,4.3,悬疑、都市、刑侦,番茄小说
288,功德簿,与沫,3.6,都市、玄幻、因果,微信读书
289,冠军教父,林海听涛,4.2,武侠、体育、竞技,起点读书
290,韩娱之光影交错,姬叉,3.8,都市、异国背景、娱乐圈,Kindle 商店
291,陈二狗的妖孽人生,烽火戏诸侯,3.5,悬疑、都市、现实,番茄小说
292,草清,草上匪,3.5,科幻、历史、穿越,起点读书
293,重生日本当厨神,千回转,3.5,科幻、异国背景、美食,QQ 阅读
294,青帝,荆柯守,3.2,历史、玄幻、修仙,起点读书
295,网游之近战法师,蝴蝶蓝,3.9,历史、网游、武侠,QQ 阅读
296,完美人生,刀一耕,2.7,悬疑、重生、都市,Kindle 商店
297,三国演义,罗贯中,4.8,科幻、历史、战争,微信读书
298,问题妹妹恋上我,负是非,3.9,玄幻、都市、恋爱,番茄小说
299,紫阳,风御九秋,1.4,悬疑、仙侠、修真,QQ 阅读
300,轮回乐园,那一只蚊子,2.5,玄幻、无限流、穿越,番茄小说
301,重生之我要冲浪,睡觉会变白,3.0,历史、仙侠、冒险,番茄小说
302,步步生莲,月关,3.6,玄幻、宇宙探索、星际战争,起点读书
303,赤心巡天,情何以甚,2.3,玄幻、唐朝、宫廷斗争,QQ 阅读
304,法师伊凡,kl3300,3.5,历史、异能、犯罪调查,Kindle 商店
305,我的女友是恶劣大小姐,掠过的乌鸦,2.6,历史、魔法、学院生活,微信读书
306,我的1979,争斤论两花花帽,2.0,武侠、重生、商业帝国,Kindle 商店
307,盗墓笔记,南派三叔,4.0,历史、仙侠、剑修,起点读书
308,征服异界从游戏开始,爱吃辣鸡粉,3.4,都市、冒险、神秘宝藏,QQ 阅读
309,我的属性修行人生,滚开,2.4,武侠、异世界、穿越,QQ 阅读
310,无尽破碎,隐仙者,3.4,都市、明朝、民间故事,番茄小说
311,当外神降临异界之时,水银术士,4.8,悬疑、灵异、校园,Kindle 商店
312,未来天王,陈词懒调,3.0,科幻、海盗、星际冒险,Kindle 商店
313,盗梦宗师,国王陛下,3.5,历史、江湖、比武,Kindle 商店
314,戈地图在1985,愉快的作者,4.4,都市、魔法少女、奇幻冒险,Kindle 商店
315,我大明武德充沛但选择文化胜利,江南说书人,3.6,历史、重生、官场,番茄小说
316,最初的寻道者,橘子伯爵,3.3,武侠、仙侠、修炼,微信读书
317,神话版三国,坟土荒草,2.8,玄幻、灵异、都市传说,番茄小说
318,新顺1730,望舒慕羲和,3.5,玄幻、异世界、冒险,Kindle 商店
319,我在东瀛画埃罗芒阿本子,柳水心,3.4,悬疑、清朝、宫廷秘闻,起点读书
320,诡异修仙世界,龙蛇枝,2.8,玄幻、游戏、竞技,Kindle 商店
321,最佳影星,白色十三号,3.4,科幻、龙、战神,Kindle 商店
322,术师手册,听日,2.6,悬疑、民国、侦探推理,番茄小说
323,灯塔,懵懂的猪,4.0,都市、魔法森林、守护,微信读书
324,暴风城打工实录,又一个鱼雷,3.8,历史、重生、娱乐圈,微信读书
325,陌上行,习惯呕吐,4.0,悬疑、仙侠、爱情,QQ 阅读
326,宠魅,乱,3.8,科幻、冒险、宝藏,微信读书
327,网游之代练传说,大烟缸,3.4,玄幻、异世界、魔法,QQ 阅读
328,大明官,随轻风去,3.6,武侠、汉朝、战争,QQ 阅读
329,黑暗血时代,天下飘火,3.0,科幻、异能、都市,番茄小说
330,汉乡,孑与2,1.5,武侠、精灵、奇幻,起点读书
331,金鳞开,美味罗宋汤,3.5,科幻、重生、豪门,微信读书
332,蜀山剑侠传,还珠楼主V,4.8,都市、仙侠、剑道,Kindle 商店
333,修仙就是这样子的,凤嘲凰,2.6,玄幻、校园、青春,起点读书
334,我可不是侦探,海底漫步者,3.2,科幻、星际、战争,番茄小说
335,纸上人,脂肪颗粒,3.8,悬疑、江湖、恩怨情仇,番茄小说
336,从酋长到球长,茅屋秋雨,3.2,历史、魔法世界、冒险,起点读书
337,大时代1958,青山铁杉,3.8,都市、重生、商业,起点读书
338,我在修仙界长生不死,贰更2,2.9,玄幻、仙侠、灵界,Kindle 商店
339,风起紫罗峡,荆柯守,4.1,历史、灵异、都市,QQ 阅读
340,刺激1995,愚乐,3.2,武侠、异世界、召唤,起点读书
341,五百个郭靖,我渴望力量,3.4,悬疑、宋朝、文化,起点读书
342,信息全知者,魔性沧月,3.3,科幻、游戏、争霸,起点读书
343,狩魂者之鬼喊抓鬼,三天两觉,4.0,玄幻、混沌、天尊,起点读书
344,召唤圣剑,西贝猫,3.5,科幻、民国、战争,起点读书
345,人在诸天，浪迹天涯,青楼书生,3.4,都市、魔法花园、秘密,QQ 阅读
346,夜的命名术,会说话的肘子,1.6,科幻、重生、科技,QQ 阅读
347,灵山,徐公子胜治,4.0,武侠、仙侠、太古,起点读书
348,幽暗主宰,西贝猫,3.5,科幻、灵异、校园,番茄小说
349,飘邈之旅,萧潜,4.1,历史、星际、探险,QQ 阅读
350,剑道真解,滚开,3.4,武侠、江湖、侠义,QQ 阅读
351,医师,草席,3.7,都市、医疗、剧情、生活,微信读书
352,邪神旌旗,楚白,3.0,都市、奇幻、悬疑、克苏鲁,QQ 阅读
353,电影教师,青城无忌,3.2,都市、教育、影视、励志,Kindle 商店
354,拔魔,冰临神下,3.5,历史、武侠、仙侠、修真,起点读书
355,大清之祸害,木允锋,3.9,悬疑、历史、穿越、权谋,微信读书
356,大明文魁,幸福来敲门,3.1,玄幻、历史、科举、权谋,番茄小说
357,攻略不下来的男人[快穿],袖侧,4.0,都市、快穿、言情、系统,Kindle 商店
358,大画家,醛石,3.2,科幻、艺术、都市、奇幻,Kindle 商店
359,我的姐姐是大明星,卖报小郎君,1.9,武侠、娱乐、都市、亲情,起点读书
360,神秀之主,文抄公,3.2,武侠、玄幻、修真、权谋,QQ 阅读
